Kinase,GeneName,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
Q9UKE5,TNIK,SVR,0.9674785074223587,0.018931200878666,0.983224142972824,0.0084781245046945
Q96QT4,TRPM7,ElasticNet,0.7890207035684467,0.1234380750963359,0.9466045461075304,0.0383350263518553
Q9H0K1,SIK2,RandomForest,0.2399735216069203,0.2200279464888265,0.779219168798858,0.3236926613500654
Q15139,PRKD1,SVR,0.2094747275115599,0.6788993789463702,0.6995396115767067,0.5974421608256336
Q8TD19,NEK9,SVR,0.27347711227663,0.3951043279235798,0.6774869956721536,0.9455208363470846
O96013,PAK4,MLP,0.414766143267293,0.1456448453807299,0.6620514183888163,0.3778023946990768
Q15418,RPS6KA1,GradientBoosting,-0.6646860295210123,1.0698293510755676,0.6143910455828766,0.3928934397057995
Q96SB4,SRPK1,MLP,0.4659320098505528,0.2138279158686235,0.6066409512745738,0.8060740715939516
Q9Y2K2,SIK3,RandomForest,-0.0603639461858169,0.6327931285677887,0.5829372219837483,0.3519738151808851
Q06187,BTK,GradientBoosting,-0.0276445371604439,0.3067860086180964,0.5747030267920039,0.6822981359133813
Q9BZL6,PRKD2,MLP,-1.8391180958968445,1.936044374684197,0.4233137187678419,1.085641168525716
P23443,RPS6KB1,RandomForest,-0.6060148247871213,0.5612540722738378,0.3457677250102293,0.9559732925072872
P11274,BCR,ElasticNet,0.1394711037277453,0.3098215083202325,0.3431802920382616,0.5948863383961513
P54646,PRKAA2,XGBoost,-1.6865099992768091,3.142120265865491,0.3431744301672802,0.8436168723447638
Q8IWQ3,BRSK2,SVR,-3.2773791273320314,4.0501849969883565,0.3356363157786174,0.2798341156418757
O43353,RIPK2,MLP,-0.545985645827969,0.8595484482015899,0.3191969063270361,0.4407165337488343
O14578,CIT,Lasso,0.2085838855611495,0.1911243644494037,0.2976901283165727,0.3711810249882866
Q14004,CDK13,GradientBoosting,-0.4925265815027076,0.6309725941001697,0.2860824048509899,1.2431033159971498
P00519,ABL1,PLS,-0.2538050988294891,0.4176282545902576,0.2847215837406933,0.3840673166798458
Q9NYV4,CDK12,PLS,-0.6472238467899951,0.4908689126846393,0.2742592124328538,0.8877201194441083
O94804,STK10,RandomForest,-0.413614061362517,0.2215045807835235,0.2713087917662492,0.4143022030230264
O94921,CDK14,SVR,-0.1139648095859807,0.282373087952302,0.2600999873534271,0.1972188961435933
Q9HAZ1,CLK4,PLS,-0.378690327634121,0.6018361353760178,0.2423855643058539,0.8389507776022135
P51812,RPS6KA3,SVR,-0.1922908888341829,0.615455518521532,0.236875487075333,1.4273861572690376
Q9H4A3,WNK1,Lasso,-1.3849909977302275,2.220812426691699,0.2152686165140173,1.1834155814939098
O60885,BRD4,PLS,-0.7821151274785756,1.0584895521920394,0.2139969327038321,0.3292814668434443
Q96GX5,MASTL,RandomForest,-0.5937329478173625,0.5570226659243925,0.1909089920609891,0.0974743644172312
P33981,TTK,PLS,-0.0575847301167202,0.455013744937172,0.1871612336831387,1.1104946049299655
P27448,MARK3,Lasso,-0.0255484001807835,0.2554153756645904,0.1825314553217804,0.860493927751526
O00418,EEF2K,MLP,-0.9962515306585796,1.0863268638143255,0.1780626017222812,1.4865783029071704
