UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
P00519,ABL1,Amuvatinib,NTERA2,-0.08507484746756606
P00519,ABL1,AZD3759,NTERA2,0.018988737274030384
P00519,ABL1,GSK690693,NTERA2,-0.649624888915398
P00519,ABL1,JNJ,NTERA2,0.7731783273696979
P00519,ABL1,KN62,NTERA2,0.04081017787927205
P00519,ABL1,Linsitinib,NTERA2,0.30683820747408275
P00519,ABL1,LY2835219,NTERA2,-0.30222806209317576
P00519,ABL1,Ribociclib,NTERA2,1.0644977585793058
P00519,ABL1,AC220,NTERA2,1.2291908987702886
P00519,ABL1,Edelfosine,NTERA2,1.8588845059304937
P00519,ABL1,GF109203X,NTERA2,0.045785374363886064
P00519,ABL1,Go6976,NTERA2,-0.07537017616358355
P00519,ABL1,PF4708671,NTERA2,1.333376756217192
P00519,ABL1,SP600125,NTERA2,0.17680324887149282
P00519,ABL1,TAK715,NTERA2,-0.30117164052596257
P00519,ABL1,TBCA,NTERA2,0.07287432637640012
P00519,ABL1,AT13148,NTERA2,-0.307781346394098
P00519,ABL1,AZ20,NTERA2,-0.9438951326420965
P00519,ABL1,AZD6738,NTERA2,0.4538523778092556
P00519,ABL1,Bosutinib,NTERA2,-1.7881985022604385
P00519,ABL1,Dabrafenib,NTERA2,-0.26634603305104293
P00519,ABL1,Dasatinib,NTERA2,-1.6990721780902815
P00519,ABL1,DNAPK,NTERA2,0.4023808128448137
P00519,ABL1,H89,NTERA2,-0.04591886257944157
P00519,ABL1,KD025,NTERA2,0.12376852599249154
P00519,ABL1,NU7441,NTERA2,0.8261463148877346
P00519,ABL1,Ripasudil,NTERA2,-0.14265268633784764
P00519,ABL1,Vemurafenib,NTERA2,-0.7975301180179496
P24941,CDK2,AZD6482,NTERA2,0.28525311106416235
P24941,CDK2,CAL101,NTERA2,-0.7593827429885662
P24941,CDK2,GDC0941,NTERA2,-0.13701720349849367
P24941,CDK2,HS173,NTERA2,1.165936186952521
P24941,CDK2,PIK294,NTERA2,0.9384029786055468
P24941,CDK2,TGX221,NTERA2,1.4089199206892236
P24941,CDK2,CX4945,NTERA2,-0.016738425805559815
P24941,CDK2,GO6983,NTERA2,2.299680143702294
P24941,CDK2,KN93,NTERA2,1.6271969394475068
P24941,CDK2,MK2206,NTERA2,-0.22318189144265563
P24941,CDK2,AZD5438,NTERA2,-3.1199810407239665
P24941,CDK2,FRAX486,NTERA2,1.954707570150536
P24941,CDK2,Ku0063794,NTERA2,2.606456345153809
P24941,CDK2,PD153035,NTERA2,1.3008549812124042
P24941,CDK2,PF3758309,NTERA2,2.312386955180042
P24941,CDK2,Torin,NTERA2,2.4384976720072618
P24941,CDK2,Trametinib,NTERA2,1.5416501901486996
P24941,CDK2,AZD1480,NTERA2,3.7526669022131607
P24941,CDK2,AZD5363,NTERA2,2.981252755090646
P24941,CDK2,BX912,NTERA2,1.9038773081154263
P24941,CDK2,CHIR99021,NTERA2,0.6645566395227082
P24941,CDK2,GSK2334470,NTERA2,2.2708274281487504
P24941,CDK2,Ipatasertib,NTERA2,1.3637616790223412
P24941,CDK2,LY2090314,NTERA2,0.9980079502063299
P24941,CDK2,Tofacitinib,NTERA2,1.1737242318859216
P24941,CDK2,AZD8055,NTERA2,1.818794606379327
P24941,CDK2,GDC0994,NTERA2,0.5182779409608665
P24941,CDK2,JNK,NTERA2,2.134692811588616
P24941,CDK2,LY2584702,NTERA2,1.9668431461881462
P24941,CDK2,PH797804,NTERA2,0.805123332208147
P24941,CDK2,Selumetinib,NTERA2,1.5159175574788417
P24941,CDK2,U73122,NTERA2,0.405407315637476
P24941,CDK2,Ulixertinib,NTERA2,0.7800703053969001
P24941,CDK2,Amuvatinib,NTERA2,2.6954794509315754
P24941,CDK2,AZD3759,NTERA2,1.7174558376162163
P24941,CDK2,GSK690693,NTERA2,3.633060949891113
P24941,CDK2,JNJ,NTERA2,1.5865755261115169
P24941,CDK2,KN62,NTERA2,1.135983541129665
P24941,CDK2,Linsitinib,NTERA2,1.4443108677069436
P24941,CDK2,LY2835219,NTERA2,-0.6263047627422518
P24941,CDK2,Ribociclib,NTERA2,0.9820059009225954
P24941,CDK2,AC220,NTERA2,1.7752065375453003
P24941,CDK2,Edelfosine,NTERA2,-1.2093244414423021
P24941,CDK2,GF109203X,NTERA2,1.7761126907252707
P24941,CDK2,Go6976,NTERA2,1.9573969584829276
P24941,CDK2,PF4708671,NTERA2,2.1406178807773
P24941,CDK2,SP600125,NTERA2,1.940071771403185
P24941,CDK2,TAK715,NTERA2,2.608148617659059
P24941,CDK2,TBCA,NTERA2,-0.7112773362269591
P24941,CDK2,AT13148,NTERA2,1.6639637740324478
P24941,CDK2,AZ20,NTERA2,2.2559141357028274
P24941,CDK2,AZD6738,NTERA2,1.455543405748755
P24941,CDK2,Bosutinib,NTERA2,1.592692175050072
P24941,CDK2,Dabrafenib,NTERA2,0.8285707332662783
P24941,CDK2,Dasatinib,NTERA2,1.8822902913380934
P24941,CDK2,DNAPK,NTERA2,0.9946882072337015
P24941,CDK2,H89,NTERA2,0.6192972806384458
P24941,CDK2,KD025,NTERA2,0.47167908569373324
P24941,CDK2,NU7441,NTERA2,0.5273989306352431
P24941,CDK2,Ripasudil,NTERA2,1.080468893719627
P24941,CDK2,Vemurafenib,NTERA2,0.6866132269776786
O14757,CHEK1,AZD6482,NTERA2,1.0780555198220436
O14757,CHEK1,CAL101,NTERA2,1.7186073664747477
O14757,CHEK1,GDC0941,NTERA2,1.0372147635453488
O14757,CHEK1,HS173,NTERA2,1.4552950708169774
O14757,CHEK1,PIK294,NTERA2,1.0991357994068809
O14757,CHEK1,TGX221,NTERA2,1.6927771834568894
