UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
P00519,ABL1,GF109203X,HL60,0.27765292791899704
P00519,ABL1,Go6976,HL60,1.042328419479524
P00519,ABL1,PF4708671,HL60,1.0567537041769024
P00519,ABL1,SP600125,HL60,0.8556117592114081
P00519,ABL1,TAK715,HL60,0.8612797000888959
P00519,ABL1,TBCA,HL60,1.0992882651635068
P00519,ABL1,AT13148,HL60,0.7148252442845006
P00519,ABL1,AZ20,HL60,-0.6379891136501402
P00519,ABL1,AZD6738,HL60,-0.6500815185815569
P00519,ABL1,Bosutinib,HL60,-1.3165610803693848
P00519,ABL1,Dabrafenib,HL60,0.9616186222146859
P00519,ABL1,Dasatinib,HL60,-2.349160068699147
P00519,ABL1,DNAPK,HL60,-0.31929852550058296
P00519,ABL1,H89,HL60,0.620114834592178
P00519,ABL1,KD025,HL60,0.07139296699417648
P00519,ABL1,NU7441,HL60,0.02163298836674023
P00519,ABL1,Ripasudil,HL60,0.28604514186226976
P00519,ABL1,Vemurafenib,HL60,0.11255507718354472
P00519,ABL1,CX4945,HL60,-0.2820435895263184
P00519,ABL1,GO6983,HL60,0.4136414036579633
P00519,ABL1,KN93,HL60,0.7043095188216513
P00519,ABL1,MK2206,HL60,0.614602512302414
P24941,CDK2,AZD5438,HL60,-5.061228287870881
P24941,CDK2,FRAX486,HL60,0.7976615723479051
P24941,CDK2,Ku0063794,HL60,-0.8741396209091605
P24941,CDK2,PD153035,HL60,0.2739918531338792
P24941,CDK2,PF3758309,HL60,0.7144352952854048
P24941,CDK2,Torin,HL60,0.05440318766340223
P24941,CDK2,Trametinib,HL60,-0.32447126588811787
P24941,CDK2,AZD1480,HL60,-0.33134747489550553
P24941,CDK2,AZD5363,HL60,-0.5016654072678373
P24941,CDK2,BX912,HL60,-0.5123237084816682
P24941,CDK2,CHIR99021,HL60,0.16221647399373126
P24941,CDK2,GSK2334470,HL60,-0.6772493865994172
P24941,CDK2,Ipatasertib,HL60,-0.13117187385049697
P24941,CDK2,LY2090314,HL60,-0.2608644923470196
P24941,CDK2,Tofacitinib,HL60,1.5710437125355567
P24941,CDK2,AZD6482,HL60,1.6867444209915943
P24941,CDK2,CAL101,HL60,2.032203284317754
P24941,CDK2,GDC0941,HL60,1.4936052716526371
P24941,CDK2,HS173,HL60,0.9829674530114116
P24941,CDK2,PIK294,HL60,0.9056058127662835
P24941,CDK2,TGX221,HL60,2.0608441695562982
P24941,CDK2,AZD8055,HL60,0.8049282868388983
P24941,CDK2,GDC0994,HL60,1.2013950478972377
P24941,CDK2,JNK,HL60,1.0201543294643476
P24941,CDK2,LY2584702,HL60,1.0837166864753558
P24941,CDK2,PH797804,HL60,0.8826086557245387
P24941,CDK2,Selumetinib,HL60,2.5097491422403566
P24941,CDK2,U73122,HL60,1.6754951008664816
P24941,CDK2,Ulixertinib,HL60,0.9054445547991457
P24941,CDK2,Amuvatinib,HL60,-0.07979213368349347
P24941,CDK2,AZD3759,HL60,0.6422700709570879
P24941,CDK2,GSK690693,HL60,0.6187414128123753
P24941,CDK2,JNJ,HL60,0.0130896382039455
P24941,CDK2,KN62,HL60,-1.0622450062230424
P24941,CDK2,Linsitinib,HL60,-0.3440637490079912
P24941,CDK2,LY2835219,HL60,-0.657314996568856
P24941,CDK2,Ribociclib,HL60,-0.11026231317665312
P24941,CDK2,AC220,HL60,1.7664490120399714
P24941,CDK2,Edelfosine,HL60,1.3405299673325326
P24941,CDK2,GF109203X,HL60,2.243037535425802
P24941,CDK2,Go6976,HL60,2.300674149006101
P24941,CDK2,PF4708671,HL60,1.2116943934769304
P24941,CDK2,SP600125,HL60,2.442728758448431
P24941,CDK2,TAK715,HL60,1.7540487149239636
P24941,CDK2,TBCA,HL60,1.1664844072787535
P24941,CDK2,AT13148,HL60,0.8396219339117172
P24941,CDK2,AZ20,HL60,0.87867536198822
P24941,CDK2,AZD6738,HL60,1.1802401624655778
P24941,CDK2,Bosutinib,HL60,0.552583269639013
P24941,CDK2,Dabrafenib,HL60,-2.6852533118741966
P24941,CDK2,Dasatinib,HL60,0.18969705741670043
P24941,CDK2,DNAPK,HL60,1.3376510645807194
P24941,CDK2,H89,HL60,2.006287394494403
P24941,CDK2,KD025,HL60,-2.8891926838307382
P24941,CDK2,NU7441,HL60,-0.1796892735220552
P24941,CDK2,Ripasudil,HL60,0.8121939528337238
P24941,CDK2,Vemurafenib,HL60,-1.0922095204584072
P24941,CDK2,CX4945,HL60,2.1904712328796574
P24941,CDK2,GO6983,HL60,1.4618896579800018
P24941,CDK2,KN93,HL60,3.0659076677362753
P24941,CDK2,MK2206,HL60,0.9150032296883479
O14757,CHEK1,AZD5438,HL60,0.3980186967389989
O14757,CHEK1,FRAX486,HL60,-0.21462537632040127
O14757,CHEK1,Ku0063794,HL60,-0.38984833991071316
O14757,CHEK1,PD153035,HL60,0.8414188549600644
O14757,CHEK1,PF3758309,HL60,-1.0174171125357745
O14757,CHEK1,Torin,HL60,-0.11701390976923555
O14757,CHEK1,Trametinib,HL60,0.14977324133705777
O14757,CHEK1,AZD1480,HL60,0.7804865719354479
O14757,CHEK1,AZD5363,HL60,-0.037570277671403564
O14757,CHEK1,BX912,HL60,1.4994404459033555
O14757,CHEK1,CHIR99021,HL60,3.351187440714414
O14757,CHEK1,GSK2334470,HL60,1.6967446010643505
O14757,CHEK1,Ipatasertib,HL60,1.2932454801878523
O14757,CHEK1,LY2090314,HL60,2.225984483187949
O14757,CHEK1,Tofacitinib,HL60,1.760342547235246
O14757,CHEK1,AZD6482,HL60,0.6593836150701419
O14757,CHEK1,CAL101,HL60,0.2782981764305604
O14757,CHEK1,GDC0941,HL60,-0.31384228238983936
O14757,CHEK1,HS173,HL60,1.2160782387269935
O14757,CHEK1,PIK294,HL60,0.9102459401690115
O14757,CHEK1,TGX221,HL60,0.595295656774918
