UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
P00519,ABL1,Ribociclib,MCF7,0.29738945276924994
P00519,ABL1,AC220,MCF7,1.1598817648621516
P00519,ABL1,Edelfosine,MCF7,0.7300849082491788
P00519,ABL1,GF109203X,MCF7,1.0505695845160112
P00519,ABL1,Go6976,MCF7,0.2864929024657068
P00519,ABL1,PF4708671,MCF7,-0.05829898458409911
P00519,ABL1,SP600125,MCF7,-0.25052217741768124
P00519,ABL1,TAK715,MCF7,-0.008534183218594348
P00519,ABL1,TBCA,MCF7,0.936561843059349
P00519,ABL1,AT13148,MCF7,0.7540324199226442
P00519,ABL1,AZ20,MCF7,0.4739415109700597
P00519,ABL1,AZD6738,MCF7,0.7728271637882982
P00519,ABL1,Bosutinib,MCF7,-0.5054273572774398
P00519,ABL1,Dabrafenib,MCF7,0.9761939386888696
P00519,ABL1,Dasatinib,MCF7,-1.4525712266677842
P00519,ABL1,DNAPK,MCF7,-0.5126994885779984
P00519,ABL1,H89,MCF7,0.473575037773878
P00519,ABL1,KD025,MCF7,0.7429536501051711
P00519,ABL1,NU7441,MCF7,1.1986804035260774
P00519,ABL1,Ripasudil,MCF7,0.5376543241870129
P00519,ABL1,Vemurafenib,MCF7,1.2773628610134535
P00519,ABL1,CX4945,MCF7,0.24191152994489837
P00519,ABL1,GO6983,MCF7,0.24061366560419634
P00519,ABL1,KN93,MCF7,0.23763336732987358
P00519,ABL1,MK2206,MCF7,0.24538159300741202
P24941,CDK2,AZD6482,MCF7,-0.58389010430551
P24941,CDK2,CAL101,MCF7,0.21033202896605643
P24941,CDK2,GDC0941,MCF7,-0.038943835211804195
P24941,CDK2,HS173,MCF7,1.6562847817225255
P24941,CDK2,PIK294,MCF7,0.9001561288212906
P24941,CDK2,TGX221,MCF7,0.08439329768096511
P24941,CDK2,AZD5438,MCF7,-4.728871165872543
P24941,CDK2,FRAX486,MCF7,1.38204515004405
P24941,CDK2,Ku0063794,MCF7,2.2696297520318964
P24941,CDK2,PD153035,MCF7,1.4198609602643013
P24941,CDK2,PF3758309,MCF7,2.734052686851982
P24941,CDK2,Torin,MCF7,2.0480059309966556
P24941,CDK2,Trametinib,MCF7,0.8336433760973999
P24941,CDK2,AZD1480,MCF7,0.03421031880876367
P24941,CDK2,AZD5363,MCF7,2.613614542947965
P24941,CDK2,BX912,MCF7,-0.4515477017598966
P24941,CDK2,CHIR99021,MCF7,-0.022905210382393966
P24941,CDK2,GSK2334470,MCF7,2.342548084711131
P24941,CDK2,Ipatasertib,MCF7,1.8198189839357124
P24941,CDK2,LY2090314,MCF7,0.912577470528245
P24941,CDK2,Tofacitinib,MCF7,-0.35551899865496406
P24941,CDK2,AZD8055,MCF7,1.9328319786580515
P24941,CDK2,GDC0994,MCF7,0.24744132190235085
P24941,CDK2,JNK,MCF7,0.8131985188256344
P24941,CDK2,LY2584702,MCF7,1.318175056953398
P24941,CDK2,PH797804,MCF7,1.0325049522586445
P24941,CDK2,Selumetinib,MCF7,0.4373555196095799
P24941,CDK2,U73122,MCF7,1.6755991398334062
P24941,CDK2,Ulixertinib,MCF7,-1.3885244568083026
P24941,CDK2,Amuvatinib,MCF7,1.6939620446074197
P24941,CDK2,AZD3759,MCF7,0.507052234961645
P24941,CDK2,GSK690693,MCF7,2.6427219841023883
P24941,CDK2,JNJ,MCF7,1.971153928082765
P24941,CDK2,KN62,MCF7,-0.6988380773053517
P24941,CDK2,Linsitinib,MCF7,1.0287811964393863
P24941,CDK2,LY2835219,MCF7,-0.688863497546426
P24941,CDK2,Ribociclib,MCF7,-0.024527763996023157
P24941,CDK2,AC220,MCF7,-0.4937845399539589
P24941,CDK2,Edelfosine,MCF7,-0.5423330874303575
P24941,CDK2,GF109203X,MCF7,0.6692594575507604
P24941,CDK2,Go6976,MCF7,0.7137046556103533
P24941,CDK2,PF4708671,MCF7,-0.07012459458833535
P24941,CDK2,SP600125,MCF7,0.24870322727842611
P24941,CDK2,TAK715,MCF7,0.15881816450838399
P24941,CDK2,TBCA,MCF7,0.8531317450297621
P24941,CDK2,AT13148,MCF7,1.6690376704828584
P24941,CDK2,AZ20,MCF7,0.882341820465023
P24941,CDK2,AZD6738,MCF7,0.88144846568668
P24941,CDK2,Bosutinib,MCF7,0.9797316791550873
